specimen,code,group,family,genus,genus2,taxon,TL_m,BZW_mm,Age_100,category,Feeding_BL20
Megaptera_SDNHM25557,Hf4,mysticeti,balaenopteridae,Megaptera,Megaptera,humpback_whale,0.7,61.146,42.80710339,1-early,filter
Megaptera_USNM260583,Hf6,mysticeti,balaenopteridae,Megaptera,Megaptera,humpback_whale,0.504,85.681,37.30898831,1-early,filter
Megaptera_USNM260584,Hf9,mysticeti,balaenopteridae,Megaptera,Megaptera,humpback_whale,0.688,118.737,42.49403497,1-early,filter
Megaptera_USNM267635,Hf7,mysticeti,balaenopteridae,Megaptera,Megaptera,humpback_whale,0.564,98.262,39.08807832,1-early,filter
Megaptera_USNM267637,Hf8,mysticeti,balaenopteridae,Megaptera,Megaptera,humpback_whale,0.592,100.137,39.88674751,1-early,filter
Phocoena.pho_1889.2.14.11,Phof1,odontoceti,phocoenidae,Phocoena,Phocoena,harbour_porpoise,0.24,38.44,29.9539131,1-early,biting/crushing/suction
Phocoena.pho_1943.21,Phoj3,odontoceti,phocoenidae,Phocoena,Phocoena,harbour_porpoise,1.13,128.097,110,3-immature,biting/crushing/suction
Phocoena.pho_2021.2,Phoa3,odontoceti,phocoenidae,Phocoena,Phocoena,harbour_porpoise,1.5,146.98,120,4-adult,biting/crushing/suction
Phocoena.pho_USNM010764,Phof5,odontoceti,phocoenidae,Phocoena,Phocoena,harbour_porpoise,0.302,40.39,37.69200732,1-early,biting/crushing/suction
Phocoena.pho_USNM270633,Phof8,odontoceti,phocoenidae,Phocoena,Phocoena,harbour_porpoise,0.718,77.58,89.61212337,2-late/new,biting/crushing/suction
